half,key,controller_signal,net,other_switch_pin
left,L01,D2,L_SW01,GND
left,L02,D3,L_SW02,GND
left,L03,D4,L_SW03,GND
left,L04,D5,L_SW04,GND
left,L05,D6,L_SW05,GND
left,L06,D7,L_SW06,GND
left,L07,D8,L_SW07,GND
left,L08,D9,L_SW08,GND
left,L09,D10,L_SW09,GND
left,L10,D14,L_SW10,GND
left,L11,D15,L_SW11,GND
left,L12,D16,L_SW12,GND
left,L13,D18,L_SW13,GND
left,L14,D19,L_SW14,GND
left,L15,D20,L_SW15,GND
left,L16,D21,L_SW16,GND
left,L17,D22,L_SW17,GND
right,R01,D2,R_SW01,GND
right,R02,D3,R_SW02,GND
right,R03,D4,R_SW03,GND
right,R04,D5,R_SW04,GND
right,R05,D6,R_SW05,GND
right,R06,D7,R_SW06,GND
right,R07,D8,R_SW07,GND
right,R08,D9,R_SW08,GND
right,R09,D10,R_SW09,GND
right,R10,D14,R_SW10,GND
right,R11,D15,R_SW11,GND
right,R12,D16,R_SW12,GND
right,R13,D18,R_SW13,GND
right,R14,D19,R_SW14,GND
right,R15,D20,R_SW15,GND
right,R16,D21,R_SW16,GND
right,R17,D22,R_SW17,GND
